Titulo,Subtitulo,Noticia,Real,Predito
Novo estudo descarta elo entre tipo sanguíneo e a incidência de Covid,,"rir investigação pessoa unir demonstrar haver o sanguíneo e o suscetibilidade contrair o covid-19 pesquisar anterior pessoa sanguíneo o suscetíveis o o vírus o estudar publicar the journal of the american medical association utilizar o base hospital e clínico americano utah nevar e idaho associar o o intermountain healthcare saudar lucrativo o investigação liderar pesquisador universidade stanford escola medicinar utah e instituto coração centrar médico intermountain existir principal sangue o b ab e o. investigar o suscetibilidade e severidade covid-19 sangue pesquisador analisar amostrar 107.796 indivíduo diferente realizar testar pcr hospital e clínico pertencente o intermountain casar múltiplo testar especialista levar consideração o testar resultar positivar negativar participante analisar o associação o sanguíneo abar e o incidência doença comparar amostrar sanguíneo testar positivar e negativar o presença covid positivar análise amostrar paciente hospitalizar e hospitalizar paciente uti julho o jornal científico “ new england journal of medicinar ” publicar estudar sugerir sangue o propenso o o gravar doença o propenso estudar chinês publicar maio ano haver sugerir o base utilizar estudar anterior diferir investigação atual cientista itália espanha dinamarca alemanha país comparar cercar paciente gravar covid-19 pessoa saudável apresentar sintoma levar inexistente pesquisador estudar anterior chegar o diferente conclusão dever o o “ tamanho amostrar e o natureza retrospectivo e observacional ” o defender o “ gene abar altamente polimórfico e sanguíneo abar distribuir diferente ancestral e geografia ” o explicar o incidência sanguíneo determinar região acordar o estudar pesquisador identificar o sanguíneo e chance contrair o covid-19 eliminar hipótese o fator agravar o severidade doença “ o sanguíneo associar suscetibilidade gravidade doença incluir positividade viral hospitalização admissão uti ” afirmar autor estudar resultar evidenciar comparar o sangue o o o associar o o aumentar positividade viral hospitalização admissão uti “ b e ab associar o resultar piorar o o. ” apesar identificar o sanguíneo abar e o covid característico demográfico ficar evidência o análise o indivíduo testar mulher o o representar 76,9 base paciente covid entretanto homem hospitalizar 50,1 e casar internação utis 61,8 o idade médio paciente hospitalizar ano e utis ano",1,0
Médica usa informações falsas em vídeo para falar em cura da covid-19  ,,o vídeo médico camaronesa radicar unir defender coquetel medicamentar curar o covid-19 e criticar o máscara apresentar informação falsar o organização mundial saudar oms autoridade sanitário unir e brasil declarar haver curar o coronavírus e máscara medir eficaz evitar o propagação vírus o gravação unir e amplo viralização redar social compartilhar cantor madonna e presidente norte-americano donald trump twitter facebook instagram e youtube derrubar publicação vídeo alegar criar desinformação o pandemia brasil o conteúdo viralizou legendar português postagem twitter o equipar contato mensagem plataforma o mulher publicar o vídeo receber retornar o publicação d texto o médico falir vídeo aparecer legendar stella emanuel buscar simples google mostrar o grafia sobrenome immanuel o nome corretar encontrar informação site veículo unir localizar registrar profissional texas medical board tmb órgão equivalente o o regional medicinar,1,0
"Reinaldo Azevedo: ""Bolsonaristas batem mais do que petistas""  ",,estrear uol entrevistar thaís oyama o colunista uol receber o jornalista reinaldo azevedo falir apoiadores presidente jair bolsonaro o entrevistar o ex-presidente luiz inácio lula silvar e afirmar bolsonaristas bater petistas,1,0
Coronavírus: Termômetro infravermelho não é prejudicial ao cérebro  ,,recentemente circular aplicativo mensagem alertar perigar tecnologia combater o o coronavírus verdadeiro o falsar mensagem tratar casar real criança machucar olhar o o entrar indevidamente equipamento raiar ultravioleta uv supermercado o desinformar o o afirmar termômetros infravermelho o nervoso atribuir o supor enfermeiro australiano deslegitimar termômetros infravermelho parecer armar e prejudicial o o cérebro o verdade tarefar medir e registrar o temperatura pessoa o centrar testar armar termômetro puxar o gatilho esperar bipe e registrar o temperatura dessensibilizar o o direcionarmos cabeça e causar problema saudar potenciar o o raiar infravermelho o glândula pineal questionar o supor enfermeiro,1,0
"Zumbis, canibais e mortes inventadas: as 10 fakes mais bizarras da pandemia  ",,receitar caseiro o covid-19 remédio comprovação científico e posts falsar autoridade e personalidade público informação desmentir durante o pandemia publicação circular redar social história difícil acreditar acabar viralizando diferente país e precisar verificar jornalista o lupa analisar 8.704 checagens produzir 1º janeiro e agostar base coronavirus facts alliance e coronaverificado e separar posts bizarro compartilhar mundo história incluir teoria conspiração animar pessoa enlouquecer e narrativo mirabolante envolver o coronavírus distorcer situação ocorrer outro contexto o seguir o encontrar ordem publicação início pandemia janeiro viralizou brasil o história paciente infectar coronavírus haver morder o jugular médico unir — referência o filmar terror gente achar verdade credibilidade notícia criar print supor reportagem o casar publicar jornal o globo o montagem link encurtar falsar direcionava reportagem criacionismo o fato descrever jamais ocorrer posts explicar o origem covid-19 defender teoria incomum fevereiro circular redar social filipino o foto homem chinês segurar o feto bancada cozinhar preparar comer o publicação o canibalismo resultar aparecimento coronavírus verdade o imagem mostrar performance ano artista chinês zhu yu trabalhar controverso chamar comer pessoa tratava-se simulação,1,0
WhatsApp e OMS lançam figurinhas de apoio à vacinação contra Covid,"OMS diz que vacina é ""divisor de água"", mas que pessoas devem continuar a usar máscaras, seguir o distanciamento social, evitar aglomerações, além de outras medidas para evitar o contágio. ",o whatsapp e o organização mundial saudar oms lançar n terça-feira pacote figurar chamar vacinar vaccines all inglês esperar figurar oferecer modo divertir e criativo expressar o alegria o alívio e o esperançar possibilidade trazer vacinar o covid-19 o aplicativo comunicar o whatsapp contar chatbot português parceria o oms informação o coronavírus o alertar saudar oms contactar +41798931892 link text oi,1,0
Relação entre vibração alta e covid-19 não tem comprovação científica  ,,"texto circular site relacionar autoajuda tratamento alternativo redar social e plataforma trocar mensagem whatsapp informação comprovação científico alegar o covid vibração 5,5 hz e morrer acima 25,5 hz o material sugerir ânimo e sentimento capaz enfraquecer o sars-cov-2 humanar vibração alto o vírus gripar simples o equipar entrar contato o psicólogo eluise dorileo autor texto publicar junho fonte conteúdo circular atualmente whatsapp admitir haver comprovação … estudar basear frequência energético base enviar questionamento o frequência energético base e autor mencionar escrever gentileza pesquisar o pesquisar o frequência sentimento e emoção levar o trabalhar autor autoajuda norte-americano david r. hawkins o criador escalar hawkins classificar sensação raivar amor ódio paz orgulhar e vergonha hertz — unidade medir frequência físico o tabelar livrar vs forçar o trabalhar hawkins reconhecer comunidade acadêmica o texto o o coronavírus e o frequência sentimento recente maio o associação brasileiro terapeuta holísticos abrath haver publicar alertar redar social o material",1,0
ONG Repórteres Sem Fronteiras denuncia Facebook na França por mensagens de ódio e fake news,ONG afirmou que rede social tem 'práticas comerciais enganosas' por 'proliferação em massa' de mensagens de ódio e de informações falsas violar os próprios compromissos com os internautas.,o ong repórter fronteirar rsf anunciar n terça-feira entrar ação frança o facebook prático comerciar enganoso estimar o proliferação massa mensagem ódio e informação falsar redar social violar compromisso internautas apresentar o o ministério público francês o ação basear contradição manifestar compromisso redar social consumidor e o realidade funcionamento consultar afp o documentar denunciar filiar facebook frança e facebook irlanda o desenvolver atividades frança o rsf procurar demonstrar compromisso gigante norte-americana contemplar particular condição gerar basear declaração falsar,1,0
Facebook e Twitter terão alerta em posts que declarem vitória antecipada nas eleições dos EUA,Redes sociais planejaram um selo para publicações que afirmem que um candidato foi eleito antes de as autoridades anunciarem o vencedor.,o facebook e o twitter anunciar medir conter o desinformação o resultar eleição unir acontecer n terça-feira redar social incluir alertar publicação declarar vencedor resultar oficial eua aplicativo facebook incluir o instagram destacar topar informação eleição o empresar candidatar declarar vitória prematuro plataforma selar abaixar publicação informar votar contar e o vencedor anunciar posts alegação pessoa votar remover o facebook,1,0
Russomanno fala em suposta produtora fantasma e Boulos rebate: 'Pegadinha'  ,,o candidatar o prefeito paulo guilherme boulos psol questionar hoje celso russomanno republicano debater promover uol parceria o folhar s.paulo supor empresar fantasma receber dinheiro psolista seguir boulos rebater perguntar russomanno durante o debater,1,0
