Dataset,Combination,Classifier,Accuracy,Precision,Recall,F1-Score,Embedding_Dim
dataset_sem_stopwords_lemmatizado,titulo,SVM,0.8840823183536329,0.8843613238855903,0.8840823183536329,0.8840620314300605,1024
dataset_sem_stopwords_lemmatizado,titulo,RandomForest,0.8273834523309533,0.8273836224270654,0.8273834523309533,0.8273833914342283,1024
dataset_sem_stopwords_lemmatizado,titulo,LogisticRegression,0.875682486350273,0.8756869029536556,0.875682486350273,0.8756822232050682,1024
dataset_sem_stopwords_lemmatizado,texto,SVM,0.9193616127677446,0.9193909195384727,0.9193616127677446,0.9193600480896693,1024
dataset_sem_stopwords_lemmatizado,texto,RandomForest,0.8748425031499371,0.8756713012105851,0.8748425031499371,0.874771993277926,1024
dataset_sem_stopwords_lemmatizado,texto,LogisticRegression,0.9080218395632087,0.9080861386900557,0.9080218395632087,0.9080179455557231,1024
dataset_sem_stopwords_lemmatizado,subtitulo,SVM,0.8475430491390172,0.8674468301364844,0.8475430491390172,0.8454590745159449,1024
dataset_sem_stopwords_lemmatizado,subtitulo,RandomForest,0.8273834523309533,0.8344558488820912,0.8273834523309533,0.8264726787051229,1024
dataset_sem_stopwords_lemmatizado,subtitulo,LogisticRegression,0.8425031499370013,0.8606553550591184,0.8425031499370013,0.8405051270563461,1024
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,SVM,0.9071818563628727,0.90739228354299,0.9071818563628727,0.9071703615213351,1024
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,RandomForest,0.8567828643427131,0.8573858490176327,0.8567828643427131,0.8567209439309645,1024
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,LogisticRegression,0.8945821083578328,0.894589254559642,0.8945821083578328,0.8945817364573375,1024
dataset_sem_stopwords_lemmatizado,completo,SVM,0.9470810583788324,0.9470860309380844,0.9470810583788324,0.9470808716874509,1024
dataset_sem_stopwords_lemmatizado,completo,RandomForest,0.8903821923561529,0.8909897948903923,0.8903821923561529,0.8903385530382657,1024
dataset_sem_stopwords_lemmatizado,completo,LogisticRegression,0.9302813943721125,0.9302863503084363,0.9302813943721125,0.930281246797437,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo,SVM,0.9134817303653927,0.9134920502158947,0.9134817303653927,0.9134810893889357,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo,RandomForest,0.8563628727425452,0.8566189161560293,0.8563628727425452,0.8563361121780386,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo,LogisticRegression,0.9021419571608568,0.902189466534512,0.9021419571608568,0.9021388154650098,1024
dataset_sem_caracteres_especiais_lemmatizado,texto,SVM,0.9176816463670726,0.9177766307901004,0.9176816463670726,0.9176766800819784,1024
dataset_sem_caracteres_especiais_lemmatizado,texto,RandomForest,0.880302393952121,0.8807522730983784,0.880302393952121,0.880266024649315,1024
dataset_sem_caracteres_especiais_lemmatizado,texto,LogisticRegression,0.9092818143637127,0.9092863068546697,0.9092818143637127,0.9092814943213442,1024
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,SVM,0.8509029819403612,0.8735400196744311,0.8509029819403612,0.8486185299748055,1024
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,RandomForest,0.8299034019319613,0.837544115521429,0.8299034019319613,0.8289420467357195,1024
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,LogisticRegression,0.8462830743385132,0.8659639072107964,0.8462830743385132,0.8441972533734373,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,SVM,0.9344813103737926,0.9345117373750128,0.9344813103737926,0.9344800390728564,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,RandomForest,0.875682486350273,0.8758891924368536,0.875682486350273,0.8756646775778177,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,LogisticRegression,0.9231415371692566,0.9231559772198774,0.9231415371692566,0.9231407779524152,1024
dataset_sem_caracteres_especiais_lemmatizado,completo,SVM,0.9475010499790004,0.947501384244059,0.9475010499790004,0.9475010499790004,1024
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomForest,0.8924821503569929,0.8930672700914718,0.8924821503569929,0.8924411312004995,1024
dataset_sem_caracteres_especiais_lemmatizado,completo,LogisticRegression,0.9357412851742966,0.9357488581569123,0.9357412851742966,0.9357409451286202,1024
