Dataset,Combination,Classifier,Accuracy,Precision,Recall,F1-Score,Embedding_Dim
dataset_sem_stopwords_lemmatizado,titulo,SVM,0.8408231835363292,0.8470214336468697,0.8408231835363292,0.8401146965747296,384
dataset_sem_stopwords_lemmatizado,titulo,RandomForest,0.8147837043259135,0.8164021023377,0.8147837043259135,0.8145501437771223,384
dataset_sem_stopwords_lemmatizado,titulo,LogisticRegression,0.8374632507349853,0.841232019123662,0.8374632507349853,0.8370176519699796,384
dataset_sem_stopwords_lemmatizado,texto,SVM,0.873162536749265,0.8732009914805451,0.873162536749265,0.873159583419398,384
dataset_sem_stopwords_lemmatizado,texto,RandomForest,0.8269634607307854,0.8279072558281201,0.8269634607307854,0.8268363927456642,384
dataset_sem_stopwords_lemmatizado,texto,LogisticRegression,0.862662746745065,0.8627066259381027,0.862662746745065,0.8626589674987675,384
dataset_sem_stopwords_lemmatizado,subtitulo,SVM,0.8273834523309533,0.8455684896997248,0.8273834523309533,0.8250925838984243,384
dataset_sem_stopwords_lemmatizado,subtitulo,RandomForest,0.8005039899202016,0.8039718686503862,0.8005039899202016,0.799939303166695,384
dataset_sem_stopwords_lemmatizado,subtitulo,LogisticRegression,0.8173036539269215,0.8308762961229796,0.8173036539269215,0.8154205492690789,384
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,SVM,0.878202435951281,0.88089402409509,0.878202435951281,0.8779893737173743,384
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,RandomForest,0.8563628727425452,0.8575327359906076,0.8563628727425452,0.8562473478274601,384
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,LogisticRegression,0.8685426291474171,0.8703465104059687,0.8685426291474171,0.8683846231747195,384
dataset_sem_stopwords_lemmatizado,completo,SVM,0.9139017219655607,0.9139044414366861,0.9139017219655607,0.9139016308427239,384
dataset_sem_stopwords_lemmatizado,completo,RandomForest,0.8496430071398572,0.8505302294794495,0.8496430071398572,0.8495458731848832,384
dataset_sem_stopwords_lemmatizado,completo,LogisticRegression,0.9013019739605208,0.901384411306903,0.9013019739605208,0.9012972383258464,384
dataset_sem_caracteres_especiais_lemmatizado,titulo,SVM,0.8668626627467451,0.8731954221560599,0.8668626627467451,0.866299733121138,384
dataset_sem_caracteres_especiais_lemmatizado,titulo,RandomForest,0.8269634607307854,0.8299961123664892,0.8269634607307854,0.8265693832519143,384
dataset_sem_caracteres_especiais_lemmatizado,titulo,LogisticRegression,0.8584628307433851,0.86208629117784,0.8584628307433851,0.8581113927876104,384
dataset_sem_caracteres_especiais_lemmatizado,texto,SVM,0.8685426291474171,0.8685488982316371,0.8685426291474171,0.8685419334984191,384
dataset_sem_caracteres_especiais_lemmatizado,texto,RandomForest,0.8261234775304493,0.8267925491651374,0.8261234775304493,0.8260323372415939,384
dataset_sem_caracteres_especiais_lemmatizado,texto,LogisticRegression,0.8609827803443931,0.860982986000668,0.8609827803443931,0.8609827313010453,384
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,SVM,0.8286434271314573,0.8487861315854579,0.8286434271314573,0.8261438862894515,384
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,RandomForest,0.8051238975220496,0.8097927275331237,0.8051238975220496,0.804393474761433,384
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,LogisticRegression,0.8181436371272575,0.8329576627420011,0.8181436371272575,0.8161082926021891,384
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,SVM,0.8866022679546409,0.8896957090726764,0.8866022679546409,0.8863792056674027,384
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,RandomForest,0.8622427551448971,0.8647187951662424,0.8622427551448971,0.8620113809840518,384
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,LogisticRegression,0.879462410751785,0.8815033939013432,0.879462410751785,0.8793031208054952,384
dataset_sem_caracteres_especiais_lemmatizado,completo,SVM,0.9113817723645528,0.9114312380735184,0.9113817723645528,0.9113793337683179,384
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomForest,0.8593028139437211,0.8602456275015573,0.8593028139437211,0.8592088886156831,384
dataset_sem_caracteres_especiais_lemmatizado,completo,LogisticRegression,0.9050818983620328,0.9051556151051214,0.9050818983620328,0.9050778799105292,384
