Dataset,Combination,Classifier,Accuracy,Precision,Recall,F1-Score,Embedding_Dim
dataset_sem_stopwords_lemmatizado,titulo,SVM,0.870642587148257,0.8759979101811826,0.870642587148257,0.8701841226855083,768
dataset_sem_stopwords_lemmatizado,titulo,RandomForest,0.8336833263334733,0.8358728409061635,0.8336833263334733,0.8334153454821582,768
dataset_sem_stopwords_lemmatizado,titulo,LogisticRegression,0.8630827383452331,0.8656674328837298,0.8630827383452331,0.8628432270064276,768
dataset_sem_stopwords_lemmatizado,texto,SVM,0.9025619487610248,0.9032749911002176,0.9025619487610248,0.9025198218268445,768
dataset_sem_stopwords_lemmatizado,texto,RandomForest,0.8601427971440572,0.8606111439285362,0.8601427971440572,0.8600961058925535,768
dataset_sem_stopwords_lemmatizado,texto,LogisticRegression,0.8887022259554809,0.8891213409712685,0.8887022259554809,0.8886731237082913,768
dataset_sem_stopwords_lemmatizado,subtitulo,SVM,0.8412431751364973,0.862781983943967,0.8412431751364973,0.8388611008367196,768
dataset_sem_stopwords_lemmatizado,subtitulo,RandomForest,0.8143637127257455,0.8203047350718243,0.8143637127257455,0.8135057365197561,768
dataset_sem_stopwords_lemmatizado,subtitulo,LogisticRegression,0.8303233935321294,0.8460900243676629,0.8303233935321294,0.8283780835592975,768
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,SVM,0.9017219655606887,0.9040340472141511,0.9017219655606887,0.901582913505687,768
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,RandomForest,0.8773624527509449,0.8820647862220292,0.8773624527509449,0.876987249554372,768
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,LogisticRegression,0.8933221335573288,0.8947687092323168,0.8933221335573288,0.8932258543024306,768
dataset_sem_stopwords_lemmatizado,completo,SVM,0.9328013439731205,0.9328321202415918,0.9328013439731205,0.9328002771546876,768
dataset_sem_stopwords_lemmatizado,completo,RandomForest,0.8840823183536329,0.8842937566463889,0.8840823183536329,0.8840657128766138,768
dataset_sem_stopwords_lemmatizado,completo,LogisticRegression,0.9227215455690886,0.9227321196819306,0.9227215455690886,0.922720973046428,768
dataset_sem_caracteres_especiais_lemmatizado,titulo,SVM,0.883242335153297,0.8873144828280509,0.883242335153297,0.8829375211905791,768
dataset_sem_caracteres_especiais_lemmatizado,titulo,RandomForest,0.8479630407391853,0.8516623295611389,0.8479630407391853,0.8475661247157901,768
dataset_sem_caracteres_especiais_lemmatizado,titulo,LogisticRegression,0.870222595548089,0.8738383994977559,0.870222595548089,0.8699111686025145,768
dataset_sem_caracteres_especiais_lemmatizado,texto,SVM,0.9088618227635448,0.9098703586249323,0.9088618227635448,0.9088067775788156,768
dataset_sem_caracteres_especiais_lemmatizado,texto,RandomForest,0.8660226795464091,0.866498796809604,0.8660226795464091,0.8659779512904638,768
dataset_sem_caracteres_especiais_lemmatizado,texto,LogisticRegression,0.8933221335573288,0.8938138517077747,0.8933221335573288,0.8932897206884675,768
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,SVM,0.8446031079378412,0.8660360531027728,0.8446031079378412,0.8423040272650167,768
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,RandomForest,0.8143637127257455,0.8200100547958735,0.8143637127257455,0.813547894858386,768
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,LogisticRegression,0.8328433431331373,0.84821086256277,0.8328433431331373,0.8309875905079291,768
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,SVM,0.9164216715665686,0.918083100788577,0.9164216715665686,0.9163397708742093,768
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,RandomForest,0.8908021839563208,0.8956711511327838,0.8908021839563208,0.8904680989182765,768
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,LogisticRegression,0.9013019739605208,0.902819034241779,0.9013019739605208,0.9012103851661343,768
dataset_sem_caracteres_especiais_lemmatizado,completo,SVM,0.9374212515749685,0.9374910353008115,0.9374212515749685,0.9374189334203902,768
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomForest,0.887022259554809,0.8870678964480816,0.887022259554809,0.8870186324467283,768
dataset_sem_caracteres_especiais_lemmatizado,completo,LogisticRegression,0.9260814783704326,0.9261588702808352,0.9260814783704326,0.9260783489568724,768
