Dataset,Combination,Classifier,Accuracy,Precision,Recall,F1-Score,Embedding_Dim
dataset_sem_stopwords_lemmatizado,titulo,SVM,0.9092818143637127,0.9100066118606384,0.9092818143637127,0.9092425927353381,1536
dataset_sem_stopwords_lemmatizado,titulo,RandomForest,0.8630827383452331,0.8636762425602746,0.8630827383452331,0.8630282319117405,1536
dataset_sem_stopwords_lemmatizado,titulo,LogisticRegression,0.8920621587568248,0.8931655352985891,0.8920621587568248,0.8919877401130145,1536
dataset_sem_stopwords_lemmatizado,texto,SVM,0.9441411171776565,0.9441490501580599,0.9441411171776565,0.9441409201148443,1536
dataset_sem_stopwords_lemmatizado,texto,RandomForest,0.8874422511549769,0.8884935144515936,0.8874422511549769,0.887364645565089,1536
dataset_sem_stopwords_lemmatizado,texto,LogisticRegression,0.9307013859722806,0.9307384285569061,0.9307013859722806,0.9307000413320407,1536
dataset_sem_stopwords_lemmatizado,subtitulo,SVM,0.8601427971440572,0.8837133658210675,0.8601427971440572,0.8579700561969934,1536
dataset_sem_stopwords_lemmatizado,subtitulo,RandomForest,0.8341033179336413,0.845163171729241,0.8341033179336413,0.832771358200333,1536
dataset_sem_stopwords_lemmatizado,subtitulo,LogisticRegression,0.8567828643427131,0.8772144362189879,0.8567828643427131,0.8548251912119482,1536
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,SVM,0.9302813943721125,0.9311697979871011,0.9302813943721125,0.9302461804197659,1536
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,RandomForest,0.8975220495590088,0.8979288405960016,0.8975220495590088,0.8974966280194886,1536
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,LogisticRegression,0.9214615707685846,0.9218700813679972,0.9214615707685846,0.9214431135209725,1536
dataset_sem_stopwords_lemmatizado,completo,SVM,0.9647207055858883,0.9647324354366398,0.9647207055858883,0.9647204442168476,1536
dataset_sem_stopwords_lemmatizado,completo,RandomForest,0.9109617807643847,0.9120064609594674,0.9109617807643847,0.9109042600983106,1536
dataset_sem_stopwords_lemmatizado,completo,LogisticRegression,0.9580008399832003,0.9580472012489646,0.9580008399832003,0.9579996842452909,1536
dataset_sem_caracteres_especiais_lemmatizado,titulo,SVM,0.9407811843763125,0.9408938805276944,0.9407811843763125,0.9407776117149459,1536
dataset_sem_caracteres_especiais_lemmatizado,titulo,RandomForest,0.8987820243595128,0.9014504248167765,0.8987820243595128,0.8986154959234302,1536
dataset_sem_caracteres_especiais_lemmatizado,titulo,LogisticRegression,0.9344813103737926,0.935132000289574,0.9344813103737926,0.9344573787639765,1536
dataset_sem_caracteres_especiais_lemmatizado,texto,SVM,0.9420411591768164,0.9421025841204936,0.9420411591768164,0.9420392984387823,1536
dataset_sem_caracteres_especiais_lemmatizado,texto,RandomForest,0.8828223435531289,0.8834699684395387,0.8828223435531289,0.8827716813980617,1536
dataset_sem_caracteres_especiais_lemmatizado,texto,LogisticRegression,0.9294414111717766,0.9295011556843412,0.9294414111717766,0.9294391459254742,1536
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,SVM,0.8618227635447291,0.8851625336434816,0.8618227635447291,0.8597056235541155,1536
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,RandomForest,0.8446031079378412,0.8572614338205418,0.8446031079378412,0.8432217609347475,1536
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,LogisticRegression,0.8588828223435532,0.8808739878744175,0.8588828223435532,0.8568243769442543,1536
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,SVM,0.9563208735825284,0.9563416035765976,0.9563208735825284,0.9563204421161753,1536
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,RandomForest,0.9151616967660646,0.9157308790650437,0.9151616967660646,0.915133373979227,1536
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,LogisticRegression,0.9470810583788324,0.9474466402345821,0.9470810583788324,0.9470705830262789,1536
dataset_sem_caracteres_especiais_lemmatizado,completo,SVM,0.9697606047879043,0.9697619092568913,0.9697606047879043,0.9697605727837576,1536
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomForest,0.9315413691726165,0.9318334335171239,0.9315413691726165,0.931529387994007,1536
dataset_sem_caracteres_especiais_lemmatizado,completo,LogisticRegression,0.9605207895842083,0.9605260442280072,0.9605207895842083,0.9605207060178257,1536
