Dataset,Combination,Classifier,Accuracy,Precision,Recall,F1-Score,Embedding_Dim
dataset_sem_stopwords_lemmatizado,titulo,SVM,0.9181016379672406,0.9201461141654681,0.9181016379672406,0.9180031997414387,5000
dataset_sem_stopwords_lemmatizado,titulo,RandomForest,0.9113817723645528,0.9114172404029869,0.9113817723645528,0.9113800528549126,5000
dataset_sem_stopwords_lemmatizado,titulo,LogisticRegression,0.9139017219655607,0.917149648645074,0.9139017219655607,0.9137355615076642,5000
dataset_sem_stopwords_lemmatizado,texto,SVM,0.9508609827803444,0.9508613182307402,0.9508609827803444,0.9508609827803444,5000
dataset_sem_stopwords_lemmatizado,texto,RandomForest,0.9361612767744645,0.9362212880223725,0.9361612767744645,0.9361589119335355,5000
dataset_sem_stopwords_lemmatizado,texto,LogisticRegression,0.9479210415791685,0.947952464340826,0.9479210415791685,0.9479200310579117,5000
dataset_sem_stopwords_lemmatizado,subtitulo,SVM,0.8601427971440572,0.8823750422823192,0.8601427971440572,0.8580882045185849,5000
dataset_sem_stopwords_lemmatizado,subtitulo,RandomForest,0.8395632087358252,0.8511326643584209,0.8395632087358252,0.838238156381271,5000
dataset_sem_stopwords_lemmatizado,subtitulo,LogisticRegression,0.8530029399412011,0.872155557647403,0.8530029399412011,0.8510953505200908,5000
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,SVM,0.9391012179756405,0.9400415680384848,0.9391012179756405,0.9390692974740362,5000
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,RandomForest,0.9391012179756405,0.9394381669791994,0.9391012179756405,0.9390891628639335,5000
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,LogisticRegression,0.9353212935741285,0.9367476942535948,0.9353212935741285,0.9352692735831253,5000
dataset_sem_stopwords_lemmatizado,completo,SVM,0.9756404871902562,0.9756418467738139,0.9756404871902562,0.9756404785965622,5000
dataset_sem_stopwords_lemmatizado,completo,RandomForest,0.9689206215875682,0.9689417098056603,0.9689206215875682,0.9689202268647481,5000
dataset_sem_stopwords_lemmatizado,completo,LogisticRegression,0.9706005879882402,0.9706338980756369,0.9706005879882402,0.9706001212551757,5000
dataset_sem_caracteres_especiais_lemmatizado,titulo,SVM,0.9395212095758085,0.9400187928092851,0.9395212095758085,0.93950456297986,5000
dataset_sem_caracteres_especiais_lemmatizado,titulo,RandomForest,0.9437211255774884,0.9440840050960432,0.9437211255774884,0.9437099851231854,5000
dataset_sem_caracteres_especiais_lemmatizado,titulo,LogisticRegression,0.9336413271734565,0.934674361370536,0.9336413271734565,0.9336026075865013,5000
dataset_sem_caracteres_especiais_lemmatizado,texto,SVM,0.9521209575808484,0.9521415097673291,0.9521209575808484,0.952120484627346,5000
dataset_sem_caracteres_especiais_lemmatizado,texto,RandomForest,0.9319613607727846,0.9319661413047183,0.9319613607727846,0.9319611207410082,5000
dataset_sem_caracteres_especiais_lemmatizado,texto,LogisticRegression,0.9479210415791685,0.9479323091347561,0.9479210415791685,0.9479206557486797,5000
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,SVM,0.8618227635447291,0.8831802172720861,0.8618227635447291,0.8598781651324019,5000
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,RandomForest,0.8383032339353212,0.848860620907246,0.8383032339353212,0.8370778188850869,5000
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,LogisticRegression,0.8437631247375053,0.8588480823686314,0.8437631247375053,0.8421118926751037,5000
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,SVM,0.9504409911801764,0.9510578806042952,0.9504409911801764,0.9504244461858851,5000
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,RandomForest,0.9525409491810164,0.9526821540047632,0.9525409491810164,0.9525374329274039,5000
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,LogisticRegression,0.9416211675766485,0.942942876651585,0.9416211675766485,0.9415782985287414,5000
dataset_sem_caracteres_especiais_lemmatizado,completo,SVM,0.9773204535909282,0.9773420726229408,0.9773204535909282,0.9773202295603218,5000
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomForest,0.9701805963880722,0.9701835505694412,0.9701805963880722,0.9701805332687052,5000
dataset_sem_caracteres_especiais_lemmatizado,completo,LogisticRegression,0.9672406551868963,0.9672882710564153,0.9672406551868963,0.9672398924063346,5000
