Embedding,Field_Combination,Classifier,Accuracy,Precision,Recall,F1-Score
TF-IDF,titulo,SVM,0.9303503588011819,0.93387895229451,0.9303503588011819,0.930201298374348
TF-IDF,titulo,RandomForest,0.8796960742929506,0.8913837645600687,0.8796960742929506,0.8787659329023143
TF-IDF,titulo,LogisticRegression,0.9235964542000844,0.9265638170278593,0.9235964542000844,0.9234560145543286
Word2Vec,titulo,SVM,0.8716758125791473,0.8737190617968986,0.8716758125791473,0.871488393483792
Word2Vec,titulo,RandomForest,0.8742085268045588,0.8743568481244175,0.8742085268045588,0.8741929242608892
Word2Vec,titulo,LogisticRegression,0.8746306458421275,0.8762036536737062,0.8746306458421275,0.8744894290017361
BERT,titulo,SVM,0.8125791473195441,0.81556814583434,0.8125791473195441,0.8121091822120996
BERT,titulo,RandomForest,0.764879696074293,0.7661521261024439,0.764879696074293,0.764573273711383
BERT,titulo,LogisticRegression,0.8125791473195441,0.8126308501291344,0.8125791473195441,0.8125679255539355
Llama,titulo,SVM,0.861544955677501,0.8710516605539159,0.861544955677501,0.8606246768410771
Llama,titulo,RandomForest,0.809624314056564,0.8226919616755248,0.809624314056564,0.8076249086399407
Llama,titulo,LogisticRegression,0.8425495989869143,0.8492849243012459,0.8425495989869143,0.8417585767244019
TF-IDF,texto,SVM,0.9376316898440792,0.9379467388316947,0.9376316898440792,0.9376185731074466
TF-IDF,texto,RandomForest,0.9161399072903498,0.9161403518130301,0.9161399072903498,0.9161399668594564
TF-IDF,texto,LogisticRegression,0.9275179098187948,0.9279072576272347,0.9275179098187948,0.9274989055460655
Word2Vec,texto,SVM,0.922039612305099,0.9221452408626599,0.922039612305099,0.9220332985492763
Word2Vec,texto,RandomForest,0.898440792246102,0.8984620962790629,0.898440792246102,0.8984385197168112
Word2Vec,texto,LogisticRegression,0.8954909397387274,0.8957729134720287,0.8954909397387274,0.8954689603422079
BERT,texto,SVM,0.8824273072060683,0.8827918780273765,0.8824273072060683,0.8823948509761735
BERT,texto,RandomForest,0.8171091445427728,0.8176134545544802,0.8171091445427728,0.8170264778969029
BERT,texto,LogisticRegression,0.8874841972187105,0.8875603666510249,0.8874841972187105,0.8874767236681242
Llama,texto,SVM,0.877370417193426,0.8775896950359655,0.877370417193426,0.8773489405773486
Llama,texto,RandomForest,0.8280657395701644,0.8280830969545196,0.8280657395701644,0.8280650067812608
Llama,texto,LogisticRegression,0.8605141171512853,0.8609776515525044,0.8605141171512853,0.8604629699114618
TF-IDF,subtitulo,SVM,0.9347826086956522,0.9351677613004844,0.9347826086956522,0.9308722119668992
TF-IDF,subtitulo,RandomForest,0.8369565217391305,0.8642314530467109,0.8369565217391305,0.7822200564722623
TF-IDF,subtitulo,LogisticRegression,0.9030797101449275,0.9072806987913667,0.9030797101449275,0.8911776226354231
Word2Vec,subtitulo,SVM,0.8831521739130435,0.8777788947946654,0.8831521739130435,0.8707947828634264
Word2Vec,subtitulo,RandomForest,0.8903985507246377,0.8842787316375655,0.8903985507246377,0.8833869679471095
Word2Vec,subtitulo,LogisticRegression,0.8786231884057971,0.871094842722376,0.8786231884057971,0.8671495597326799
BERT,subtitulo,SVM,0.8831521739130435,0.8764972027974383,0.8831521739130435,0.8726493099274658
BERT,subtitulo,RandomForest,0.8432971014492754,0.8304567362365476,0.8432971014492754,0.8103880689520844
BERT,subtitulo,LogisticRegression,0.8940217391304348,0.8889480251882482,0.8940217391304348,0.8899206084928095
Llama,subtitulo,SVM,0.9248188405797102,0.9244185932210921,0.9248188405797102,0.9246086110026926
Llama,subtitulo,RandomForest,0.8777173913043478,0.8709853349558375,0.8777173913043478,0.8643802432525252
Llama,subtitulo,LogisticRegression,0.9112318840579711,0.9095056333201735,0.9112318840579711,0.9102087833385673
TF-IDF,titulo_subtitulo,SVM,0.9367355546183045,0.9399823791037267,0.9367355546183045,0.9366124807276255
TF-IDF,titulo_subtitulo,RandomForest,0.8920286798819064,0.9049476972343778,0.8920286798819064,0.8911376463763058
TF-IDF,titulo_subtitulo,LogisticRegression,0.9283002952340784,0.9317397692549413,0.9283002952340784,0.9281498993347044
Word2Vec,titulo_subtitulo,SVM,0.897089835512442,0.8983884621379643,0.897089835512442,0.8969988779487389
Word2Vec,titulo_subtitulo,RandomForest,0.8865457612821595,0.8868388840677179,0.8865457612821595,0.8865204469354644
Word2Vec,titulo_subtitulo,LogisticRegression,0.8814846056516238,0.8818100666509642,0.8814846056516238,0.8814550824591617
BERT,titulo_subtitulo,SVM,0.8696752425137073,0.8797010263571423,0.8696752425137073,0.8687831177512458
BERT,titulo_subtitulo,RandomForest,0.8321383382539013,0.8369324897440327,0.8321383382539013,0.8315126374851757
BERT,titulo_subtitulo,LogisticRegression,0.8717840573597638,0.8728563812826834,0.8717840573597638,0.8716832537814965
Llama,titulo_subtitulo,SVM,0.8907633909742725,0.8965078200431523,0.8907633909742725,0.8903505352288292
Llama,titulo_subtitulo,RandomForest,0.8409953606073387,0.8467304960459618,0.8409953606073387,0.8403085641113682
Llama,titulo_subtitulo,LogisticRegression,0.8675664276676508,0.8708514035122317,0.8675664276676508,0.8672569725346819
TF-IDF,completo,SVM,0.9781604367912642,0.9781942536424463,0.9781604367912642,0.9781600900752735
TF-IDF,completo,RandomForest,0.9630407391852163,0.9632620346520109,0.9630407391852163,0.9630365011386502
TF-IDF,completo,LogisticRegression,0.9685006299874003,0.9685963693687711,0.9685006299874003,0.9684991186146318
Word2Vec,completo,SVM,0.9622007559848803,0.9622007559848803,0.9622007559848803,0.9622007559848803
Word2Vec,completo,RandomForest,0.9344813103737926,0.9344824903818586,0.9344813103737926,0.934481241031475
Word2Vec,completo,LogisticRegression,0.9525409491810164,0.9525412517387348,0.9525409491810164,0.9525409324381211
BERT,completo,SVM,0.8920621587568248,0.8921249805590729,0.8920621587568248,0.8920581603291293
BERT,completo,RandomForest,0.8294834103317934,0.8294844605419348,0.8294834103317934,0.8294833501759362
BERT,completo,LogisticRegression,0.8966820663586729,0.8966820663586729,0.8966820663586729,0.8966820663586729
Llama,completo,SVM,0.9286014279714405,0.9289946065234115,0.9286014279714405,0.9285855558443107
Llama,completo,RandomForest,0.880302393952121,0.8810598458134207,0.880302393952121,0.8802441765153228
Llama,completo,LogisticRegression,0.9181016379672406,0.9186490342948467,0.9181016379672406,0.9180755398410937
